Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,salary,benefits_401k,stocks,date_posted,Unnamed: 0
Quantitative Analyst,American Century Investments,Santa Clara,LinkedIn,Full-time,Not mentioned,Not mentioned,0,"['$135', '$165']",Not mentioned,provided,3 days ago,
"Quantitative Marketing Analyst, Google, Search Marketing",Google,Mountain View,LinkedIn,Full-time,provided,Not mentioned,0,"['$87000', '$128000']",Not mentioned,provided,10 days ago,
Quant Analyst,"Software Guidance & Assistance, Inc. (SGA, Inc.)",San Jose,LinkedIn,Full-time,Not mentioned,Not mentioned,[3],50–57 an hour,Not mentioned,provided,23 days ago,
Quantitative Researcher,MSCI Inc.,Berkeley,Glassdoor,Full-time,provided,Not mentioned,0,149K–194K a year,provided,provided,5 days ago,
Associate Quantitative Analytics and Forecasting Director,Exelixis,Alameda,LinkedIn,Full-time,provided,provided,"[7, 5]","['$171000', '$243000']",provided,provided,2 days ago,
Quantitative Research Analyst,Charles Schwab,San Francisco,BrokerHunter,Full-time,provided,provided,"[2, 5]",,provided,provided,16 days ago,
Quantitative Analyst (Staff / Sr Staff) - Power Markets,Equilibrium Energy,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,provided,provided,"[6, 4]",,provided,provided,1 month ago,
Quantitative Analyst - Model Validation,Insight Global,San Francisco,Insight Global,Full-time and Contractor,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,
Quantitative Analyst,AVA ROAD,San Francisco,Indeed,Full-time,provided,provided,0,,provided,Not mentioned,1 month ago,
Senior Quantitative Analyst,Unreal Gigs,San Francisco,JobServe,Full-time,provided,provided,[5],"['$150000', '$200000']",provided,Not mentioned,6 days ago,
Principal Quantitative Analyst,Pacific Gas and Electric,Oakland,JobzMall,Full-time,Not mentioned,Not mentioned,0,147K–189K a year,Not mentioned,Not mentioned,1 month ago,
Quantitative analyst,Unreal Gigs,San Francisco,Talent.com,Full-time,provided,provided,[8],170K–230K a year,provided,provided,15 days ago,
Lead Quantitative Risk Analyst,Earnest,Anywhere • via LinkedIn,LinkedIn,Full-time,provided,provided,"[2, 3, 4, 6]","['$191000', '$216000']",provided,provided,16 days ago,
"Analyst, Quantitative Data Operations",Fidelity Investments,San Francisco,JobzMall,Full-time,Not mentioned,Not mentioned,0,85K–125K a year,provided,provided,1 month ago,
Quantitative Trader,Protogon Research,Menlo Park,Glassdoor,Full-time,provided,provided,0,,Not mentioned,Not mentioned,5 days ago,
Junior Quantitative Trader,Radley James,San Francisco,LinkedIn,Full-time,provided,provided,0,,Not mentioned,Not mentioned,6 days ago,
"Associate, Quantitative Researcher",BlackRock,Palo Alto,JobzMall,Full-time,Not mentioned,Not mentioned,0,120K–160K a year,provided,provided,1 month ago,
Quantitative Analyst,Verse Inc.,San Francisco,Job Board,Full-time,provided,provided,[3],,provided,provided,1 month ago,
Quantitative Researcher,American Century Investments,Santa Clara,LinkedIn,Full-time,Not mentioned,Not mentioned,"[2, 5]","['$120000.00', '$140000.00']",provided,provided,10 days ago,
Senior Quantitative Analyst (Price Optimization and Yield Management),Direct Staffing Inc,San Ramon,Smart Recruiters Jobs,Full-time,Not mentioned,Not mentioned,[6],,Not mentioned,provided,1 month ago,
Quantitative Risk Analyst Intern,First Citizens Bank,California • via First Citizens Careers - First Citizens Bank,First Citizens Careers - First Citizens Bank,Full-time,provided,Not mentioned,[1],"['$22.44', '$34.32']",Not mentioned,Not mentioned,3 days ago,
"Lead Analyst, Data Management & Quantitative Analysis",BNY Mellon,San Francisco,The Muse,Full-time,Not mentioned,Not mentioned,0,"['$81328', '$170000']",Not mentioned,Not mentioned,1 month ago,
Quant developer,Bloomberg,San Francisco,Talent.com,Full-time,Not mentioned,Not mentioned,[3],,Not mentioned,provided,2 days ago,
Quantitative Analytics Manager,Affirm,Anywhere • via LinkedIn,LinkedIn,Full-time,provided,provided,[7],['$205000'],Not mentioned,provided,9 days ago,
Lead Quantitative Analyst,Unreal Gigs,San Francisco,Jooble,Full-time,provided,provided,[8],"['$170000', '$230000']",Not mentioned,provided,4 days ago,
Quantitative Business Analyst,Apple,Cupertino,JobzMall,Full-time,Not mentioned,Not mentioned,0,110K–135K a year,Not mentioned,Not mentioned,1 month ago,
Senior Quantitative Analyst,Unreal Gigs,San Francisco,Jooble,Full-time,provided,provided,[5],"['$150000', '$200000']",provided,Not mentioned,1 month ago,
AI Quantitative Strategist,WorldQuant,San Francisco,LinkedIn,Full-time,provided,provided,[2],"['$150000', '$200000']",provided,Not mentioned,8 days ago,
Quantitative Revenue Analyst,YouTube,San Bruno,JobzMall,Full-time and Part-time,Not mentioned,Not mentioned,0,148K–169K a year,provided,Not mentioned,1 month ago,
Principle Associate - Quantitative Analyst,Karkidi,San Francisco,Ladders,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,9 days ago,
Retirement Solutions Researcher - Actuarial and Quantitative Finance,Blackrock,San Francisco,Get.It,Full-time and Contractor,provided,Not mentioned,"[5, 5]",148K–210K a year,Not mentioned,Not mentioned,8 days ago,
Policy Analyst: Quantitative | Stanford University,Stanford University,Stanford,Jooble,Full-time,provided,Not mentioned,[2],"['$76000', '$95000']",Not mentioned,Not mentioned,24 days ago,
Senior Quantitative Developer - BQuant Research Platform,Bloomberg,San Francisco,Indeed,Full-time,Not mentioned,Not mentioned,[4],,Not mentioned,Not mentioned,1 month ago,
Quantitative Revenue Analyst,YouTube,San Bruno,JobzMall,Full-time,Not mentioned,Not mentioned,0,63K–72K a year,Not mentioned,Not mentioned,1 month ago,
Financial Analyst,Robert Half,Berkeley,Robert Half,Full-time,Not mentioned,Not mentioned,0,75K–80K a year,Not mentioned,Not mentioned,18 days ago,
