,Unnamed: 0.1,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,benefits_401k,stocks,date_posted,lower_limit_salary,upper_limit_salary
0,0,Quantitative Analyst,American Century Investments,Santa Clara,LinkedIn,Full-time,0,0,0,0,1,3,259200,316800.0
1,1,"Quantitative Marketing Analyst, Google, Search Marketing",Google,Mountain View,LinkedIn,Full-time,1,0,0,0,1,10,87000,128000.0
2,2,Quant Analyst,"Software Guidance & Assistance, Inc. (SGA, Inc.)",San Jose,LinkedIn,Full-time,0,0,3,0,1,23,96000,109440.0
3,3,Quantitative Researcher,MSCI Inc.,Berkeley,Glassdoor,Full-time,1,0,0,1,1,5,149000,194000.0
4,4,Associate Quantitative Analytics and Forecasting Director,Exelixis,Alameda,LinkedIn,Full-time,1,1,7,1,1,2,171000,243000.0
9,9,Senior Quantitative Analyst,Unreal Gigs,San Francisco,JobServe,Full-time,1,1,5,1,0,6,150000,200000.0
10,10,Principal Quantitative Analyst,Pacific Gas and Electric,Oakland,JobzMall,Full-time,0,0,0,0,0,30,147000,189000.0
11,11,Quantitative analyst,Unreal Gigs,San Francisco,Talent.com,Full-time,1,1,8,1,1,15,170000,230000.0
12,12,Lead Quantitative Risk Analyst,Earnest,Anywhere • via LinkedIn,LinkedIn,Full-time,1,1,6,1,1,16,191000,216000.0
13,13,"Analyst, Quantitative Data Operations",Fidelity Investments,San Francisco,JobzMall,Full-time,0,0,0,1,1,30,85000,125000.0
16,16,"Associate, Quantitative Researcher",BlackRock,Palo Alto,JobzMall,Full-time,0,0,0,1,1,30,120000,160000.0
18,18,Quantitative Researcher,American Century Investments,Santa Clara,LinkedIn,Full-time,0,0,5,1,1,10,120000,140000.0
20,20,Quantitative Risk Analyst Intern,First Citizens Bank,California • via First Citizens Careers - First Citizens Bank,First Citizens Careers - First Citizens Bank,Full-time,1,0,1,0,0,3,42240,65280.0
21,21,"Lead Analyst, Data Management & Quantitative Analysis",BNY Mellon,San Francisco,The Muse,Full-time,0,0,0,0,0,30,81328,170000.0
23,23,Quantitative Analytics Manager,Affirm,Anywhere • via LinkedIn,LinkedIn,Full-time,1,1,7,0,1,9,205000,205000.0
24,24,Lead Quantitative Analyst,Unreal Gigs,San Francisco,Jooble,Full-time,1,1,8,0,1,4,170000,230000.0
25,25,Quantitative Business Analyst,Apple,Cupertino,JobzMall,Full-time,0,0,0,0,0,30,110000,135000.0
26,26,Senior Quantitative Analyst,Unreal Gigs,San Francisco,Jooble,Full-time,1,1,5,1,0,30,150000,200000.0
27,27,AI Quantitative Strategist,WorldQuant,San Francisco,LinkedIn,Full-time,1,1,2,1,0,8,150000,200000.0
28,28,Quantitative Revenue Analyst,YouTube,San Bruno,JobzMall,Full-time and Part-time,0,0,0,1,0,30,148000,169000.0
